"ID","Position Title","Campus : Location","Position Type","Employment Type","# of Openings","Posting Date","Closing Date","Who May Apply","Department/Unit","Benefits Eligible","FLSA Status","Job URL (Linked)","Special Instructions for Candidates (Text Only)","Job Summary and Essential Functions (Text Only)"
"2017-2848","Adjunct Faculty - Computer Science","US-MN-St. Paul","Faculty","Adjunct Faculty","3","4/28/2017","Open Until Filled","This position is open to all qualified applicants.","Computer and Information Sciences - CAS","No","Exempt/Salaried","https://facultyemployment-stthomas.icims.com/jobs/2848/job","Applications should be submitted online at http://www.stthomas.edu/jobs/, and must include: 1) a cover letter, 2) curriculum vitae, and 3) an unofficial copy of your graduate transcripts. Please complete the reference section of the application with the names and contact information of three professional references.ÿ No references will be contacted without first getting the permission of the candidate.ÿ You will be asked to copy/paste the cover letter into the applicaion.","The University of St. Thomas invites applications for adjunct faculty within the Computer and Information Science department.ÿ ÿ Adjunct faculty are being sought to teach both entry-level and intermediate courses in Computer Science, beginning Fall 2017. Qualified applicants for the entry-level course (CISC 130) will have strong computer programming and problem solving skills, with experience in Matlab and C. Qualified applicants for the intermediate-level course (CISC 310) will be able to introduce Computer Science majors to the basic principles of designing and building operating systems, covering topics such as concurrent processes, synchronization, memory management, CPU scheduling, input/output device handling, file systems design, security and protection."
"2019-4126","Adjunct Faculty, Chemistry","US-MN-St. Paul","Faculty","Adjunct Faculty","2","6/6/2019","Open until Filled","This position is open to all qualified applicants.","Chemistry - CAS","Yes","Exempt/Salaried","","Special instructions to candidates: All applications should be submitted online at https://www.stthomas.edu/jobs, and must include 1) a curriculum vitae, 2) an unofficial copy of your graduate transcripts, and 3) a cover letter. Applicants will be asked to copy/paste their cover letter into their application. Please complete the reference section of the application with the names and contact information of three professional references. Position open until filled.","The Department of Chemistry at the University of Saint Thomas invites applications for the position of adjunct instructor of Chemistry beginning in Fall Semester 2019 with possible continuation in the spring. Teaching load is anticipated at 1-3 laboratory courses per semester in the areas of Organic Chemistry and or General Chemistry. Salary will be commensurate with experience and degree."
"2018-3811","Adjunct Faculty, Mathematics","US-MN-St. Paul","Faculty","Adjunct Faculty","1","11/15/2018","Open Until Filled","This position is open to all qualified applicants.","Mathematics - CAS","No","Exempt/Salaried","https://facultyemployment-stthomas.icims.com/jobs/3811/job","Applications should be submitted online at https://jobs.stthomas.edu, and must include 1) a curriculum vitae uploaded into you profile, 2) a cover letter copy/pasted into you applicaton, 3) an unofficial copy of your graduate transcripts. Please complete the reference section of the application with the names and contact information of three professional references.","The Mathematics department at the University of St. Thomas is looking for adjunct faculty members to teach lower level mathematics courses for Spring of 2019. These courses are Finite Mathematics, Calculus with Review I and II, Business Calculus, and Calculus I."
"2018-3798","Adjunct Faculty, Public Health","US-MN-St. Paul","Faculty","Adjunct Faculty","1","11/19/2018","Open until Filled","This position is open to all qualified applicants.","Health & Exercise Science - CAS","Yes","","https://facultyemployment-stthomas.icims.com/jobs/3798/job","Special instructions to candidates: All applications should be submitted online at https://www.stthomas.edu/jobs, and must include 1) a curriculum vitae, 2) a statement of teaching interest and 3) a cover letter. Applicants will be asked to copy/paste their cover letter into their application. Please complete the reference section of the application with the names and contact information of three professional references. Position open until filled.","The University of St. Thomas invites applications for an adjunct Public Health instructor for Spring 2019.ÿ Teaching responsibilities will include undergraduate courses in Epidemiology (4 cr.), Global Health (4 cr.), and Public Health Research Methods (4 cr.).ÿÿ"
"2019-4088","Administrative Assistant","US-MN-St. Paul","Student","Student","2","5/9/2019","Open Until Filled","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","School of Engineering","No","Student - Hourly","https://studentemployment-stthomas.icims.com/jobs/4088/job","Please attach a cover letter and resume. Preference will be given to an undergraduate student with prior office experience and availability to work 15-30 hours per week during the summer 2019 and 10-20 hours per week during the fall 2018.ÿThis position will continue through fall, J-Term, spring and summer.ÿNo weekend hours.ÿWeekday hours are negotiable. Please indicate your weekday availability for the summer and fall semester 2019, Monday through Friday between 9 AM and 5:30 PM.ÿ","Assist students, faculty and staff of Graduate Programs in the School of Engineering by: - Answering the main office phone and routing calls - Greeting and directing walk-in students and visitors - Scanning confidential documents using Optix - Helping distribute department mail - Duplicating/copying materials - Responding to prospective and current students by email, phone and in Salesforce Enrollment Rx - Stocking andÿkeepingÿcopy and break rooms tidy - Creating and distributing mid-term evaluations - Collecting and copying department documents to department Sharepoint site - Helping with graduate student orientation registration and campus tour - Special projects and duties as assigned"
"2019-4077","Assistant Director of Admissions, School of Law","US-MN-Minneapolis","Staff","Full-Time Staff","1","5/8/2019","Open until Filled","This position is open to all qualified applicants.","School of Law","Yes","Exempt/Salaried","","","The University of St. Thomas invites qualified candidates to apply for an Assistant Director of Law Admissions within theÿSchool of Law. ÿ The University of St. Thomas embraces diversity, inclusion, and equal opportunity for all. Our convictions of dignity, diversity and personal attention call us to embody and champion a diverse, equitable and inclusive environment.ÿ We welcome applicants of diverse races, ethnicities, geographic origins, gender identities, ages, socioeconomic backgrounds, sexual orientations, religions, work experience, physical and intellectual abilities, and financial means. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. This commitment is consistent with our mission to inspire our students, using the Catholic intellectual tradition, to think critically, work skillfully, and act wisely ? all for the common good.ÿ A successful candidate will possess a commitment to the ideals of this mission. JOIN OUR COMMUNITY The University of St. Thomas offers a competitive and comprehensive benefits program, which includes: - Up to 100% tuition remission for employees, spouses, and dependents upon eligibility - A generous Employer retirement contribution of 9.4% of annual salary upon eligibility - Medical, dental, and vision options - Employer-paid disability, life, and AD&D benefits JOB SUMMARY The Assistant Director of Admissions reports to the Assistant Dean of Admissions and assists with the planning and implementation of recruitment program activities. This position will help coordinate on- and off-campus programs, counsel students regarding the admissions and financial aid process, assist the marketing department in developing publications, and assist the Assistant Dean in compiling data and statistics for reports. The Assistant Director will assist in electronic communication, integration of electronic media and website content relating to admissions, and recruiting with prospective and admitted students. The Assistant Director should bring successful experience in meeting enrollment goals, aiding in the development and evaluation of a strategic recruitment and enrollment plan. ÿ Specific duties include assisting the admissions effort of the School of Law, including managing admissions-related projects, managing and reporting data, coordinating the marketing communication sequence, reviewing applicant files, and planning recruiting events to achieve matriculation goals.ÿ Extensive travel is required. The Assistant Director will develop relationships with pre-law advisors and participates in off-campus recruitment efforts.ÿ The Assistant Director coordinates ongoing enrollment advisement. The Assistant Director works in a collaborative relationship with current law school students, faculty, administrative offices, alumni and university offices, and actively works towards enhancing the quality and diversity of each year?s entering class. ÿ ESSENTIAL FUNCTIONS - Work with the Assistant Dean of Admissions and Admissions Committee to develop a national recruiting calendar and actively participate as one of the primary contacts for travel and coverage of these events.ÿ As part of this effort, the assistant director for admissions will analyze past recruitment efforts to have a clear understanding of the success and failures of the previous recruiting efforts, and to further improve the focus of our ongoing efforts. - Entertain personal visits, email, and telephone conversations with prospective and admitted students to address their specific questions and concerns and to further market St. Thomas Law and its programs. Further develop relationships with pre-law advisors throughout the nation by arranging personal campus visits, and attending institutionally sponsored recruiting events. - Help to plan, organize and participate in St. Thomas Law events for prospective and admitted students.ÿ The goal of these events are to both inform and exemplify St. Thomas Law?s sense of community, mission, and academic strength and thereby, assisting prospective students and applicants in making a positive decision about the law school. - Remain educated and informed on trends in legal education and the legal market that influence prospective and admitted student?s decisions to attend law school and specifically, the University of St. Thomas School of Law. ÿEngage in professional development opportunities when available, especially as they relate to recruiting and admissions policies, procedures and the developing body of law regarding admissions. - Development and interpretation of recurring and ad-hoc statistical reports on admissions and recruitment. Ensure that only accurate information or statistical data is given to constituents. Examining admission data for integrity:ÿ Analyzing information in recruiting and admissions to ensure data standards are enforced and our information is accurate, consistent and complete. Creating reports or writing scripts to extract information needed by external constituencies to meet the external reporting requirements. - Managing and executing large scale communications:ÿ Fully understanding the communication cycle for prospective students, coordinating the efforts of numerous interested parties within Admissions and throughout the law school to accurately and efficiently extract the data needed to communicate with prospective students. - Serve as arrival and housing contact for incoming domestic and international students. This will include working with community members and outside groups to identify housing options and relocation information."
"2019-4041","Assistant Director of Corporate Relations","US-MN-St. Paul","Staff","Full-Time Staff","1","4/16/2019","Open Until Filled","This position is open to all qualified applicants.","University Development and Alumni Relations","Yes","Exempt/Salaried","","","The University of St. Thomas invites qualified candidates to apply for an Assistant Director of Corporate Relations position within the University Development and Alumni Relations. ÿ The University of St. Thomas embraces diversity, inclusion, and equal opportunity for all. Our convictions of dignity, diversity and personal attention call us to embody and champion a diverse, equitable and inclusive environment.ÿ We welcome applicants of diverse races, ethnicities, geographic origins, gender identities, ages, socioeconomic backgrounds, sexual orientations, religions, work experience, physical and intellectual abilities, and financial means. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. This commitment is consistent with our mission to inspire our students, using the Catholic intellectual tradition, to think critically, work skillfully, and act wisely ? all for the common good.ÿ A successful candidate will possess a commitment to the ideals of this mission. ÿ JOIN OUR COMMUNITY The University of St. Thomas offers a competitive and comprehensive benefits program, which includes: - Up to 100% tuition remission for employees, spouses, and dependents upon eligibility - A generous Employer retirement contribution of 9.4% of annual salary upon eligibility - Medical, dental, and vision options - Employer-paid disability, life, and AD&D benefits ÿ JOB SUMMARY Reporting to the Director of Corporate and Foundation Relations, the Assistant Director of Corporate Relations is responsible for qualifying, cultivating, soliciting and stewarding corporations with the goal to align corporate interests with strategic objectives and priorities of the University of St. Thomas. The position is responsible for assisting the director in leading the planning and implementation of strategies and programs designed to maximize corporate and foundation (CFR) support.ÿ The Assistant Director will work in collaboration and cooperation with the full University Development and Alumni Relations Team, the Office of Sponsored Research, Student Affairs, the faculty, deans and administrative leadership to build external relationships with industry and secure funds on behalf of the University of St. Thomas. The Assistant Director will manage a portfolio of corporate prospects and donors.ÿ Expectations include annual gift production from corporations; number of single and multi-unit proposals submitted; and the achievement of a significant positive response ratio for those proposals given serious external consideration. This position works with the director of CFR and the team to build a dynamic culture of collaboration and coordination for all corporate engagement activities across the University. ÿ ESSENTIAL FUNCTIONS Manage a Portfolio of Corporate and Foundation Prospects and Donors - Manage a portfolio of corporate prospects and donors.ÿ Represent the University?s development effort within the Twin Cities metro area and nationally.ÿ Provide leadership to maximize the relationship with institutional partners or prospects ? leading to mutually beneficial relationships between the University and partner organizations that result in gifts. ÿDevelop timelines and plans for engagement.ÿ - Foster and exemplify a holistic approach to working with corporationsÿ - Design and implement an ?internal partnership coordination team? model to promote and assure team management of top level corporate prospects - Lead and/or serve as a University of St. Thomas liaison on corporate ?internal partnership coordination teams,? and work with central development and university leadership, collegiate development officers, faculty, business development and career services offices, and others at the University in identifying needs and benefits of the relationship and facilitating the necessary interaction to develop strategies for giving. - Build and lead teams of staff, faculty, unit development officers and others aimed at designing and implementing strategies for engagement, leading, when possible, to major gift proposals for corporations.ÿ Leverage other University partners to gather information and build gift proposals. ÿ Liaison and Coordination Across Development Programs and Services - Ensure systems, practices, and procedures are in place for Corporate Relations administration. - Collaborate with the Development Research department to advance research needs in support of top corporate prospects ? ensuring up-to-date and useful information for briefings and proposals.ÿ Provide prospect coordination assistance with corporations ensuring that industry needs and trends match St. Thomas? mission and goals and work to build mutually beneficial partnerships and projects. - Develop, implement and manage processes, protocols and systems for seeking, securing and fulfilling corporate sponsorships. - In collaboration with the gift processing team, ensure the matching gifts program strategies, tracking and compliance are in good order.ÿ Maximize this program in collaboration with the individual gift officers to leverage the Tommie Network to further the corporate relationship as well as the individual ones.ÿ - Collaborate with UDAR donor relations and stewardship teams to create stewardship reports and events/activities aimed at ensuring high level of stewardship for corporations and foundations. - Collaborate with other gift officers, departments and collegiate units to ensure prospect coordination for cultivation and solicitations, accurate data/information, and communications and materials. - Partner with development communications to determine proposal-writing strategy and resource as appropriate. - Determine roles/responsibilities for the University President, Vice President for Development and Alumni Relations, and other senior university leadership for involvement in relationship building and gift solicitation. - Collaborate and coordinate with the Office of the Executive Vice President and Provost, VP of Student Affairs, and its affiliated functions (Sponsored Research, Career Services, etc.) on corporate related programs and strategies that help advance the University and increase corporate partner investments. ÿ Counsel to University Development Staff - Provides counsel and base level of training and value additive services to University units interested in creating corporate proposals on their own.ÿ Examples could be updated web site information, annual or bi-annual training sessions. - Working with the Development Directors and gift officers, help to lead continuous efforts to identify ways to improve the overall efficiency/effectiveness/environment of the development operation.ÿ - In collaboration with other CFR staff, work to build a culture of philanthropy and collaboration for corporate engagement across campus.ÿ Partner with the faculty development center, Controller?s office and the sponsored projects office to provide resources to secure more funds and work together as a collaborative team.ÿÿÿÿ"
"2019-4042","Associate Director of Foundation Relations","US-MN-St. Paul","Staff","Full-Time Staff","1","4/16/2019","Open Until Filled","This position is open to all qualified applicants.","University Development and Alumni Relations","Yes","Exempt/Salaried","","","The University of St. Thomas invites qualified candidates to apply for an Associate Director of Foundation Relations position within the University Development and Alumni Relations. ÿ The University of St. Thomas embraces diversity, inclusion, and equal opportunity for all. Our convictions of dignity, diversity and personal attention call us to embody and champion a diverse, equitable and inclusive environment.ÿ We welcome applicants of diverse races, ethnicities, geographic origins, gender identities, ages, socioeconomic backgrounds, sexual orientations, religions, work experience, physical and intellectual abilities, and financial means. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills. This commitment is consistent with our mission to inspire our students, using the Catholic intellectual tradition, to think critically, work skillfully, and act wisely ? all for the common good.ÿ A successful candidate will possess a commitment to the ideals of this mission. ÿ JOIN OUR COMMUNITY The University of St. Thomas offers a competitive and comprehensive benefits program, which includes: - Up to 100% tuition remission for employees, spouses, and dependents upon eligibility - A generous Employer retirement contribution of 9.4% of annual salary upon eligibility - Medical, dental, and vision options - Employer-paid disability, life, and AD&D benefits ÿ JOB SUMMARY The Associate Director of Foundation relations will lead the foundation relations activities for St. Thomas.ÿ S/he will identify, cultivate, develop proposals, and manage relationships with foundations on behalf of the University of St. Thomas.ÿ Reporting to the Director of Corporate and Foundation Relations, s/he will partner across the university with deans, administrative leadership and the directors of development to proactively identify sources of funding for all collegiate and institutional priorities.ÿ The Associate Director will partner with faculty, development and leadership to move foundation relationships forward with St. Thomas.ÿ S/he will strategically partner with organizations that match St. Thomas? priorities and vision and collaborate with colleagues across campus.ÿ ÿ The Associate Director will provide excellent stewardship on funded proposals by submitting interim and final progress reports.ÿ This will be done in collaboration with faculty, gift accounting, sponsored projects office and the controller?s office by providing accurate and timely reports. ÿ The Associate Director of Foundation Relations will be a proactive, results-oriented leader focused on major gift revenue generation for the University of St. Thomas. ÿ ESSENTIAL FUNCTIONS 1.ÿ Manage a portfolio of foundation prospects.ÿ Initiate, develop and maintain relationships with assigned foundation donors and prospects by representing the University for cultivation, solicitation and stewardship purposes.ÿ ÿ 2.ÿ Develop and write at least 15-20 major gift ($25,000+) grant proposals to foundations donors annually.ÿ This may be done independently or in collaboration with faculty, deans and directors of development. ÿ ÿ 3.ÿ Identify and research potential foundation donors for university priorities. In collaboration with the faculty, deans, directors of development, provide strategic guidance on which foundations would have the highest likelihood of funding University priorities.ÿ Work to identify individual relationships within foundations that could be leveraged within key foundations to maximize the likelihood of funding to St. Thomas. ÿ 4.ÿ Provide progress reports, in collaboration with the faculty, staff and controller?s office, to foundations on funded projects. ÿ 5.ÿ Manage the grants newsletter from the CFR office and push out funding opportunities to faculty across the University.ÿ Promote the CFR office and our resources to assist in major gift grant support.ÿÿ"
"2019-4066","Athletic Event Staff","US-MN-St. Paul","Student","Student","8","5/3/2019","Open Until Filled","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Athletics","No","Student - Hourly","https://studentemployment-stthomas.icims.com/jobs/4066/job","","Job Title:ÿAthletics Event Staffÿ Locations: St. Paul Campus ÿ JOB SUMMARY Looking for students to help assist with running Athletic Events, including all varsity and most J.V. athletic events. Help set up, run, and take down from athletic events. ÿ ESSENTIAL FUNCTIONS - Set up for athletic events per instructions on the manual given when hired. - Ball boy/girl - Help make sure that track meets are run smoothly - Help keep score and P.A announce for spring sports"
"2019-4102","Campus Store Student employee-Fall semester","US-MN-Minneapolis & St. Paul","Student","Student","5","5/21/2019","Open Until Filled","This position is open to currently enrolled, degree-seeking students at the University of St. Thomas.","Auxiliary Services","No","Student - Hourly","https://studentemployment-stthomas.icims.com/jobs/4102/job","","Job Title: Campus Store Student Employment Shifts: 10 to 20 hours a week Locations: Minneapolis & St. Paul ÿ JOB SUMMARY We are looking for student employees to help us at the Campus Stores. The position requires retail activities. This positionÿwill use a cash register and must have greatÿcustomers service skills. There will be merchandising and stocking activities. It is important to be on time and focus on giving great service to our customers."
